[Wed Apr 25 21:06:44 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:44 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:44 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:44 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:44 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:44 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:44 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:44 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:44 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:44 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:44 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:45 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:45 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:45 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:45 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:45 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:45 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:45 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:45 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:45 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:45 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:45 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:45 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:45 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:45 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:46 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:46 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:46 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:46 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:46 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:46 2018] INFO: Ground under feet!
[Wed Apr 25 21:06:46 2018] INFO: Ground under feet!
